TR:undefined:CellLine,TR:NaCl,TR:a,DA:ALL,DV:HOG1_T174-Y176,DV:HOG1_T174~Y176,DV:PBS2_S248,DV:PBS2_S269,DV:PTP2_Y257-S258,DV:SLN1_S833,DV:SSK1_S193~S195,DV:SSK1_S673,DV:SSK2_S53-S54~S57,DV:STE11_S323-S326,DV:STE20_S169-T170~T172,DV:STE20_S195-S196,DV:STE20_T203~T207-T217-T218,DV:STE20_T573-T575
1,1,1,0,0.000269100404175,0.0001,0.000147426021206,5.36844188274e-05,7.56147844105e-05,0.00053734679304,5.62263376226e-05,0.000172491589803,0.000122473209184,5.60179271819e-05,9.73861265137e-05,4.56515970445e-05,2.76438666524e-05,4.34686616633e-05
1,0,1,0,0.000269100404175,0.0001,0.000147426021206,5.36844188274e-05,7.56147844105e-05,0.00053734679304,5.62263376226e-05,0.000172491589803,0.000122473209184,5.60179271819e-05,9.73861265137e-05,4.56515970445e-05,2.76438666524e-05,4.34686616633e-05
1,1,0,0,0.000269100404175,0.0001,0.000147426021206,5.36844188274e-05,7.56147844105e-05,0.00053734679304,5.62263376226e-05,0.000172491589803,0.000122473209184,5.60179271819e-05,9.73861265137e-05,4.56515970445e-05,2.76438666524e-05,4.34686616633e-05
1,1,1,1,0.000381785574892,0.000321851046729,0.000226002485803,5.03629052938e-05,5.93655600107e-05,0.000600761188064,0.000107955580622,2.17695194463e-05,0.000589524836314,4.48494371336e-05,0.000267873780617,0.000140983187003,0.000165459507173,3.54833921279e-05
1,0,1,1,0.000221438068871,4.11054344345e-06,0.000226306805152,4.46837005291e-05,6.63033158115e-05,0.000589082067867,7.09303326445e-05,2.62077666918e-05,0.000231471458809,4.05798581497e-05,0.000190648313276,6.72206097838e-05,0.000106284729701,4.62415462057e-05
1,1,0,1,0.000377392262262,0.00140365259663,0.000176606467907,4.59442477464e-05,6.55251474798e-05,0.000496485646576,6.08880592487e-05,0.000224088874725,0.000288760002043,4.38988998085e-05,0.000127579102916,6.40046330385e-05,4.9413458724e-05,3.68166473498e-05
1,1,1,5,0.000594103152945,0.00157874835719,0.000445014274166,8.33853712372e-05,7.85308185694e-05,0.000418701384038,nan,5.18004601862e-05,0.000161364341479,5.49372323915e-05,5.9166330885e-05,0.000231199423516,0.000313069717994,0.000288683120836
1,0,1,5,0.000430132312845,6.5201338085e-05,0.000462993794272,4.13888927486e-05,0.000102989700607,0.000458578269351,nan,6.98492046484e-05,0.000113397462688,8.35337307575e-05,8.89142761767e-05,8.29989908098e-05,0.000266251407338,0.000233949284892
1,1,0,5,0.00058612611805,0.001598598903,0.000497589584233,0.00012429732883,9.56005602252e-05,0.000579351595665,0.00013614136659,0.000222260080502,0.000355435101129,6.36125177737e-05,0.00013474535815,0.000175357860153,0.000162565393084,5.21225488783e-05
1,1,1,10,0.000876651311857,nan,0.000449754077176,9.62150297215e-05,0.000155383137336,0.00046986819877,0.000174265357025,1.77254916352e-05,0.000307208855995,7.69944027064e-05,0.000126957771708,0.000222592040241,0.000430426024818,7.52137954255e-05
1,0,1,10,0.000408258806273,nan,0.000485744347043,6.47966686219e-05,0.000173889214973,0.000517652259337,4.86386393212e-05,3.94870175032e-05,0.000125812277849,0.000132936146432,0.000115440750823,7.4583870799e-05,0.00016532405817,6.36963308362e-05
1,1,0,10,0.000712848255254,0.000539815292032,0.000352436497339,0.000108843492455,9.62030911188e-05,0.000538994482387,0.000148695098577,0.000201942690513,0.000290864348365,5.31253946244e-05,9.75961476645e-05,0.000128876612697,0.000137655660199,7.16995706282e-05
1,1,1,20,0.000542476931752,0.00018227728565,0.000588244251286,4.07562622463e-05,7.90393491035e-05,0.000401285974598,7.59727462215e-05,3.56502311212e-05,0.000200478297344,7.01994622139e-05,7.66838018281e-05,8.42510476629e-05,6.60201228103e-05,0.000230618525557
1,0,1,20,0.000313065816652,5.60235185098e-05,0.000355361831378,3.12455112838e-05,7.72004082077e-05,0.000479136482034,2.98262189014e-05,2.81149223713e-05,0.000121926637942,0.000184836519234,7.76828028662e-05,5.98799947127e-05,0.000152859625126,0.000187053182798
1,1,0,20,0.000385002580736,0.000146898014902,0.000189213430333,7.45889375899e-05,7.3412305456e-05,0.000454159912088,0.000135253223165,0.000166110018831,0.000224769978396,3.75702988851e-05,0.000101061325143,5.54138884823e-05,7.42087372054e-05,5.03008550246e-05
1,1,1,45,0.000372851253669,6.93248042449e-05,0.000304446683404,4.45413439566e-05,0.000107054932352,0.000611731172472,5.04895212701e-05,5.02802394742e-05,0.000133291817385,0.00020948194832,9.61206690008e-05,0.000100223829396,0.00010597647772,0.000153373480153
1,0,1,45,0.000244231185368,6.26603330567e-05,0.000313942039587,3.6464602347e-05,7.14978139424e-05,0.000483493821941,2.20975829296e-05,5.61579055683e-05,0.000146954971267,0.000198972828098,0.00011598865803,7.83904604993e-05,0.000125052620743,0.000123620813457
1,1,0,45,0.000279563324521,9.62932061317e-05,0.000139533250836,4.07453884738e-05,7.43029643264e-05,0.000489273294451,7.37214342169e-05,0.000126043344069,0.00016301352244,4.29433536026e-05,9.0886953661e-05,3.90954383246e-05,2.65091251717e-05,3.95975967739e-05
